Sku,Title,Price,Regular Price,images,Primary,Sub Categories,Sub Sub categories,,,
05-1748,2 Inch X 2 Inch Stainless Steel L Shaped Angle Bracket,54,54,https://fixit.com.bd/wp-content/uploads/2019/12/05-1748.jpg,Building Materials,Builders Hardware,Corner Braces,,,
29-157,1 Inch Red Cover Double sided Foam Tape For Hanging Things from Wall (High Quality),618,650,https://fixit.com.bd/wp-content/uploads/2019/12/29-156C-1.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,,
26-3218,350-1000  ml Air Freshener Box for Dispensing Air Freshner Automatically,808,808,https://fixit.com.bd/wp-content/uploads/2019/12/26-3218A.jpg,Cleaning,Air Care,Automatic Air Freshener Dispensers and Refills,,,
21-207,10 Liter Water Proofing Expert Dr Fixit Brand Lw 101,3000,3000,https://fixit.com.bd/wp-content/uploads/2019/12/41vgXNoAySL._SX342_.jpg,Building Materials,Raw Building Materials,,,,
16-877,L-Type Stainless Steel Hook,19,20,https://fixit.com.bd/wp-content/uploads/2019/12/16-877A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
26-3583,300  ml Furniture Polish YAC brand - Wood Polish,200,200,https://fixit.com.bd/wp-content/uploads/2019/12/26-3583-web.jpg,Cleaning,Household Cleaners,Furniture and Upholstery Cleaners,,,
05-1754,62mm 2 Pcs Packet Double Coat Stainless Steel Hook for hanging clothes,86,90,https://fixit.com.bd/wp-content/uploads/2019/12/05-1754a.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
30-9635,Metallic Red Color Spray paint Bosny Brand,275,275,https://fixit.com.bd/wp-content/uploads/2019/12/mrtallic-red.jpg,Paint,Spray Paint,General Purpose,,,
11-151,4 Inch Black Hawk Aluminum Oxide Resin Fiber Sanding Disc,23,24,https://fixit.com.bd/wp-content/uploads/2019/12/11-151A.jpg,Tools and Hardware,Power Tool Accessories,Specialty Power Tool Accessories,,,
01-1295,32 Changeable Head Professional Precision Screw Driver Set Hoshe Brand,75,75,https://fixit.com.bd/wp-content/uploads/2019/12/01-1295A.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,,
18-083,Plastic 3 Arm Sprinkler (Floor Type) HMBR Brand,320,320,https://fixit.com.bd/wp-content/uploads/2019/12/18-083-web-600x600.jpg,Lawn and Garden,Watering and Irrigation,Pulsating Sprinklers,,,
26-2916,3 Pcs 40 cm x 45 cm Garbage Bag,410,410,https://fixit.com.bd/wp-content/uploads/2019/12/26-2916A.jpg,Cleaning,Trash and Recycling,Garbage Bags,,,
30-338,Fix It Pro Clear Coat Applicator and Scratch Remover Pen,750,750,https://fixit.com.bd/wp-content/uploads/2019/12/4.jpg,Automotive,Automotive Detailing,Scratch Removers,,,
09-187,Digital Distance Measuring Wheel Measuring Wheel,3000,3000,https://fixit.com.bd/wp-content/uploads/2019/12/09-187A-1.jpg,Tools and Hardware,Hand Tools,Measure and Layout Tools,,,
30-518,Copper Gold Color Spray Paint Bosny Brand,285,285,https://fixit.com.bd/wp-content/uploads/2019/12/30-518.jpg,Paint,Spray Paint,General Purpose,,,
21-223,1 Liter Rapid Action Tile & Ceramic Cleaner Roff Brand,210,210,https://fixit.com.bd/wp-content/uploads/2019/12/pidilite-roff-cera-clean.jpg,Cleaning,Household Cleaners,Floor Cleaners,,,
26-3117,6 Inch Wooden Hand Brush with Pink Color Plastic Bristle,60,63,https://fixit.com.bd/wp-content/uploads/2019/12/26-3117A.jpg,Cleaning,Cleaning Tools and Supplies,Floor Brushes,,,
29-159,2 Inch Masking Tape great for Painters,113,119,https://fixit.com.bd/wp-content/uploads/2019/12/29-159A.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,,
Fixit-0289,19mm 3 way T-Shaped Pipe Socket HMBR Brand,20,20,https://fixit.com.bd/wp-content/uploads/2019/12/351-0289-Pipe-Socket-CS-980E.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,,
21-2099,25 Liter Water Proofing Expert Dr Fixit Brand Lw 101,5600,5600,https://fixit.com.bd/wp-content/uploads/2019/12/dr-fixit25l.jpg,Building Materials,Raw Building Materials,,,,
16-226,6.5mm Plastic Royal Plug,10,10,https://fixit.com.bd/wp-content/uploads/2019/12/16-226A.jpg,Tools and Hardware,Screws  Nails and Anchors,Anchors,,,
26-2974,4 Pcs Set 1.5V AA Size Battery 555 Brand,32,34,https://fixit.com.bd/wp-content/uploads/2019/12/26-2974A.jpg,Electrical,Batteries,Household Batteries,,,
01-1241,100 gm Soldering Lead Feibao Brand,184,194,https://fixit.com.bd/wp-content/uploads/2019/12/01-1241-web-600x600.jpg,Tools and Hardware,Welding &amp; Soldering,Soldering,,,
26-2818,Strong Water Absorption Synthetic-Chamois Magic Towel,200,210,https://fixit.com.bd/wp-content/uploads/2019/12/DSC_0049.jpg,Kitchen,Tableware and Bar,Kitchen Towels,,,
18-065,2 ft. Metal Shovel Tata Grico Brand,279,293,https://fixit.com.bd/wp-content/uploads/2019/12/18-065A.jpg,Lawn and Garden,Garden Tools,Shovels,,,
19-741,Blue Color Commode Shower HMBR Brand including PVC pipe and wall holder,183,183,https://fixit.com.bd/wp-content/uploads/2019/12/19-741-web-600x600.jpg,Bath and Faucets,Bath Faucets and Shower heads,Shower Faucets,,,
30-532,600 CC Fabric And Stone Protector Spray Paint Bosny Brand,640,640,https://fixit.com.bd/wp-content/uploads/2019/12/30-516.jpg,Paint,Spray Paint,General Purpose,,,
26-3433,Stainless Steel Key Ring 30,5,5,https://fixit.com.bd/wp-content/uploads/2019/12/26-3433a.jpg,Tools and Hardware,Keys and Accessories,,,,
27-077,5 Kg Fire extinguisher (Powder),2650,2650,https://fixit.com.bd/wp-content/uploads/2019/12/5kg-fire-extenguiser.jpg,Tools and Hardware,Safety and Security,Fire Extinguisher,,,
16-875,J-Type Stainless Steel Hook,19,20,https://fixit.com.bd/wp-content/uploads/2019/12/16-875A.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
05-041,Stainless Steel Fish Eye Door Viewer HMBR Brand,52,52,https://fixit.com.bd/wp-content/uploads/2019/12/05-041-web-600x600.jpg,Tools and Hardware,Door Knobs and Hardware,Door Viewers,,,
20-998,13 Ampere 3 Flat Pin Plug,72,75,https://fixit.com.bd/wp-content/uploads/2019/12/20-998-web-600x600.jpg,Electrical,Dimmers  Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors,
05-1577,128mm Antique Brass Color Furniture Handle Victorian Design,152,160,https://fixit.com.bd/wp-content/uploads/2019/12/05-1577A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
26-3329,Yellow Small Rubber Hand Gloves for Kitchen & Cleaning,150,160,https://fixit.com.bd/wp-content/uploads/2019/12/26-3329A-1.jpg,Kitchen,Small Appliances,Hand Gloves,,,
19-1312,Solid Brass Single Lever Stainless Steel Pillar Bibb Cock,630,630,https://fixit.com.bd/wp-content/uploads/2019/12/19-1312A.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Hose Bibbs and SillCocks,,,
26-3669,Safehaus Mini Self Defense Pepper Spray Criminal Identifier,1940,1940,https://fixit.com.bd/wp-content/uploads/2019/12/811-f3WrjtL._SL1500_.jpg,Tools and Hardware,Safety Gear and Equipment,Safety Gear,,,
20-1726,20W 5V Warm White 4-6 Hours Worktime LED Floodlight RoHS Brand,3450,3620,https://fixit.com.bd/wp-content/uploads/2019/12/20-1726A.jpg,Electrical,Outdoor Lighting,Flood and Spot Lighting,,,
21-199,25gm General Purpose Epoxy Compound M-Seal Brand 90 Minutes Setting Perfect for Tank Leakage,18,18,https://fixit.com.bd/wp-content/uploads/2019/12/21-162A-600x600-1.jpg,Plumbing,Plumbing Accessories,Pipe Putty and Sealants,,,
26-4066,Stainless Steel 3 Hooks Door Rack Wall Hanger Coat,1148,1148,https://fixit.com.bd/wp-content/uploads/2019/12/Stainless-Steel-3-Hooks-Door-Rack-Wall-Hanger.jpg,Storage and Organization,Closet Organizer Accessories,Cloth Hooks|Storage and Organization,Closet Organizer Accessories,Steel Hangers,
26-676-1,Bulk Hardware BH02674 Safety Blanking Plug for 13 Amp Socket White Plastic,60,60,https://fixit.com.bd/wp-content/uploads/2019/12/31PAS9b3TL.jpg,Kitchen,Tableware and Bar,Table Corner Safety,,,
10-025,10 Inch Brown Color Paint Brush Chinese Brand,12,12,https://fixit.com.bd/wp-content/uploads/2019/12/10-025-web-600x600.jpg,Paint,Paint Supplies,Paint Brushes,,,
01-1010,12 Inch Hack Saw Blade Wynn's Brand,29,29,https://fixit.com.bd/wp-content/uploads/2019/12/01-1010A.jpg,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,,,
16-866,2.25 Inch Stainless Steel Angle Bracket,57,60,https://fixit.com.bd/wp-content/uploads/2019/12/16-866b.jpg,Building Materials,Builders Hardware,Corner Braces,,,
03-066,12 Inch Junior Hack Saw Frame with Blade HMBR Brand,136,136,https://fixit.com.bd/wp-content/uploads/2019/12/03-066A.jpg,Tools and Hardware,Hand Tools,Hand Saws and Cutting Tools,,,
18-189,Green Color Plastic Hay Fork,250,280,https://fixit.com.bd/wp-content/uploads/2019/12/18-189A-1.jpg,Lawn and Garden,Garden Tools,Shovels,,,
26-3201,500  ml Liquid Air Condition Disinfectant Cleaner BOTNY Brand,618,618,https://fixit.com.bd/wp-content/uploads/2019/12/26-3201A.jpg,Heating and Cooling,Air Conditioners,Air conditioner Accessories,,,
01-1301,Vzer Garden Fruit Tree Professional Prune Shear Snip Grafting Cutting Tool w/ 2 Extra Blades - Tree Grafting Kit,1500,1800,https://fixit.com.bd/wp-content/uploads/2019/12/51WWXLSVCML._SL1001_.jpg,Lawn and Garden,Garden Tools,Pruning Tools,,,
26-694,1.5 V AA size Duracell Alkaline Battery,105,105,https://fixit.com.bd/wp-content/uploads/2019/12/DURAMDMN1500B4x400.jpg,Electrical,Batteries,Household Batteries,,,
05-1749,2.50 Inch X 2.50 Inch Stainless Steel L Shaped Angle Bracket,74,74,https://fixit.com.bd/wp-content/uploads/2019/12/05-1749.jpg,Building Materials,Builders Hardware,Corner Braces,,,
29-060,1 Inch Yellow Green Fluorescent Adhesive Tape High Quality (1 Feet 48 tk),48,48,https://fixit.com.bd/wp-content/uploads/2019/12/29-060-web-600x600.jpg,Storage and Organization,Office Supplies,Adhesives and Tape,,,
05-004,Antique Brass Color Stainless Steel Furniture Door Handle 885,31,31,https://fixit.com.bd/wp-content/uploads/2019/12/05-004A-1.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,,
16-949,40 mm x 40 mm x 3 mm Stainless Steel Angle Bracket,48,50,https://fixit.com.bd/wp-content/uploads/2019/12/16-949A.jpg,Building Materials,Builders Hardware,Corner Braces,,,
20-1169,10 Ampere 3 Round Pin Off White Color Plug,57,57,https://fixit.com.bd/wp-content/uploads/2019/12/20-1169-web-600x600.jpg,Electrical,Dimmers  Switches and Outlets,Plugs and Connectors|Electrical,Switches and Outlets,Plugs and Connectors,
18-041,Green Color Plastic Light Weight 3 Pcs Garden Tools Set Shovels + Rake + Claw (Per Pics),84,89,https://fixit.com.bd/wp-content/uploads/2019/12/18-041A.jpg,Lawn and Garden,Garden Tools,Gardening Tools,,,
26-2759,24 Inch Black Rubberized Plastic Commode Plunger with Extension  Manual Water Suction Pumper,304,320,https://fixit.com.bd/wp-content/uploads/2019/12/26-2759-web.jpg,Plumbing,Plumbing Accessories,Hoses and Accessories,,,
18-414,2 Kg Heavy Duty Plastic Garden Kettle 8418806,240,240,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_3418.jpg,Lawn and Garden,Watering and Irrigation,Water Kettles,,,
26-1305,2Pcs Packet 1.5 V AA Size Maxcell Super Power Ace Battery,45,45,https://fixit.com.bd/wp-content/uploads/2019/12/IMG_0495-1-1.jpg,Electrical,Batteries,Household Batteries,,,
16-4206,3 Inch Stainless Steel S Shaped Hook Heavy Duty,50,50,https://fixit.com.bd/wp-content/uploads/2019/12/s-hook-1.jpg,Storage and Organization,Home Storage Hooks,Hooks,,,
28-129,25gm Cockroach Killing Poison Professional Apply with Syringe Roach King Zepto Brand,150,150,https://fixit.com.bd/wp-content/uploads/2019/12/roach_get.jpg,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,,,
18-433,Black Color 6 Inch Axe with 12 Inch Fiberglass Handle Hmbr Brand,550,600,https://fixit.com.bd/wp-content/uploads/2019/12/18-433.jpg,Tools and Hardware,Hand Tools,Axes and Meat Cleavers|Qurbani Specials,,,
21-156,50 gm Synthetic Resin Adhesive Fevicol Brand For Use In Furniture  Heat & Water Resistant,28,30,https://fixit.com.bd/wp-content/uploads/2019/12/fabicol.jpg,Paint,Duct Tape  Glues and Epoxy,Glues and Epoxy,,,
36-350,Antique Copper Color Metal Paper Binder Clip,6,6,https://fixit.com.bd/wp-content/uploads/2019/12/36-350A.jpg,Storage and Organization,Office Supplies,Office Fasteners,,,
10-056,2 Inch Brown Color Synthetic/Chinese bristle Paint Brush Karigor Brand,55,55,https://fixit.com.bd/wp-content/uploads/2019/12/10-056-web-600x600.jpg,Paint,Paint Supplies,Paint Brushes,,,
19-903,4 Inch Transparent Red PVC Bibb Cock HMBR Brand,57,57,https://fixit.com.bd/wp-content/uploads/2019/12/19-903A.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Hose Bibbs and SillCocks,,,
26-3823,120 Pcs Camphor Balls Naphthalene Ball Packet Daisy,57,60,https://fixit.com.bd/wp-content/uploads/2019/12/26-3823A.jpg,Lawn and Garden,Insect and Pest Control,Home and Perimeter Insect Control,,,
16-867,2.50 Inch Stainless Steel Angle Bracket,67,70,https://fixit.com.bd/wp-content/uploads/2019/12/16-867-web.jpg,Building Materials,Builders Hardware,Corner Braces,,,
26-2764,10 Inch Dark Mahogany Wooden Spoon,68,72,https://fixit.com.bd/wp-content/uploads/2019/12/26-2764A.jpg,Kitchen,Cooking and Food Preparation,Ladles and Spoons,,,
16-408,2 Inch Stainless Steel S Type Hook Heavy Duty,76,76,https://fixit.com.bd/wp-content/uploads/2019/12/16-408-web-600x600.png,Storage and Organization,Home Storage Hooks,Hooks,,,
