Sku,Title,Short Description,Sku,Price,Regular Price,,images,Product categories,sub,sub sub,,
26-3444,2.5 Inch Antique Copper Color Bull Head Key Holder,,26-3444,114,120,26-3444.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3444.jpg,Tools and Hardware,Keys and Accessories,,,
25-071,4 Inch  x 3mm  Perl White Color Stainless Steel Door Hinge Zine Alloy Brand,,25-071,105,105,25-071A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/25-071A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Hinges,,
04-184,19mm Stainless Steel Combination Wrench Maxtop Brand,,04-184,105,105,04-184A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-184A.jpg,Tools and Hardware,Hand Tools,Wrenches,,
07-078,2 Keys Chrome Plated Zinc Drawer Lock HMBR Brand,,07-078,108,108,07-078.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/07-078.jpg,Tools and Hardware,Door Knobs and Hardware,Drawer Locks,,
26-1237,45 Nights Refill Liquid Mosquito Repellent Mortein Brand,,26-1237,105,105,26-1536A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1536A.jpg,Lawn and Garden,Insect and Pest Control,Indoor Insect and Pest Control,,
24-001,1 Liter Damp Crush HMBR Brand for Removing Salination in Bricks to avoid Mold Formation,,24-001,120,120,24-001.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/24-001.jpg,Building Materials,Wall Cleaner Supplies,Desalination agent,,
19-511,105 gm Quick Open Hose Wall Mounting Stainless Steel Single Lever Bibb Cock,,19-511,112,112,19-511A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/19-511A.jpg,Bath and Faucets,Bathroom Accessories and Hardware,Hose Bibbs and SillCocks,,
16-929,6 Inch Two way Iron Hook for Rope Hoisting & Fastening M10,,16-929,125,125,16-929A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/16-929A.jpg,Tools and Hardware,Screws Nails and Anchors,Anchors,,
20-1307,Green & White Color Tree Shaped LED Dim Light Model LED-424,,20-1307,128,135,20-1307A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1307A.jpg,Electrical,Fan Regulators and Dimmers,Dim Lights,,
26-3206,450  ml Natural Flower Scented Air Freshener Jia Pu Brand,"A  substance or device for making the air in a room smell fresh.

Features:

Type: Aerosol Spray
Place of Origin: Guangdong China
Brand Name  Jiapu
Volume: 450 mL
Jiapu 450ml Air Freshener refresh you environment by purifying the airnatural flower & fruit freshener Instantly refreshes the air and leaves lasting aroma.

Application:

Air freshener is primarily used for odor elimination some people simply use air freshener for the pleasant odors they emit.
It is used in homes or commercial products used in restrooms that typically emit fragrance.",26-3206,128,135,26-3206A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3206A.jpg,Cleaning,Air Care,Air Fresheners,,
04-020,18mm Stainless Steel L Socket Wrench HMBR Brand,,04-020,116,116,04-020A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/04-020A.jpg,Tools and Hardware,Hand Tools,Sockets and Ratchets,,
21-164,100  ml PVC Ultra Strong Solvent Cement M-Seal Brand to Seal Pipe Fitting Bonds,,21-164,157,157,21-164A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/21-164A.jpg,Building Materials,Raw Building Materials,Cement,,
26-1750,Blue Color Plastic Ice Making Box Berry Cluster Shaped Ice Model JX-503-4,,26-1750,114,114,26-1750A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1750A.jpg,Kitchen,Small Appliances,Ice Box,,
01-1290,6 Inch 200mm Star Head Stainless Steel with Rubber Handle Screw Driver Feibao Brand,,01-1290,133,140,01-1290A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1290A.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
01-1292,4 Inch~6 Inch Star Head Stainless Steel with Rubber Handle High Quality Pliers Screw Driver Feibao Brand,,01-1292,133,140,01-1292A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1292A.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
05-1556,3 Inch Aluminium Silver Color Stainless Steel Inset Flush Furniture Handle,,05-1556,133,140,05-1556A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1556A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1560,4 x 5 Inch Silver Color Stainless Steel Furniture Handle,,05-1560,133,140,05-1560A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1560A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1575,Antique Brass Color Furniture Knob,,05-1575,133,140,05-1575A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1575A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,,
05-1579,4 Inch Stainless Steel Aluminium Silver Color Furniture Handle,,05-1579,133,140,05-1579A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1579A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1605,96mm Antique Copper Color Furniture Handle Victorian Design 8036,,05-1605,133,140,05-1605A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1605A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1606,96mm Antique Copper Color Furniture Handle Victorian Design 8031,,05-1606,133,140,05-1606A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1606A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1625,Antique Copper Color Furniture Knob 8529,,05-1625,133,140,05-1625A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1625A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Knobs,,
06-307,4 Digit Pink Color Combination Padlock Lock Changhao Brand,,06-307,133,140,06-307A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/06-307A.jpg,Tools and Hardware,Safety and Security,Pad Locks,,
20-983,220V 3 Gang White Color Switch,,20-983,152,152,20-983A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-983A.jpg,Electrical,Switches and Outlets,Switches,,
05-1449,128mm Stainless Steel Furniture Handle Floral Print Design,,05-1449,181,181,05-1449.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1449.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
18-064,2 kg Weight Rod Iron Shabol,,18-064,135,142,18-064.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/18-064.jpg,Lawn and Garden,Garden Tools,Gardening Tools,,
26-1971,500  ml Lizol Disinfectant Surface Cleaner,,26-1971,124,124,26-1971A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1971A.jpg,Cleaning,Household Cleaners,All Purpose Cleaners,,
26-2546,12 Pcs Multi-Color Plastic Cloth Clip,,26-2546,136,143,26-2546.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2546.jpg,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,,
20-164,5.5 Inch Electric Tester Stanley Brand,,20-164,125,125,20-164.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-164.jpg,Electrical,Electrical Tools and Accessories,Electrical Test Meter,,
26-1537,60 Nights Refill Liquid Mosquito Repellent Mortein Brand,,26-1537,120,120,26-1537A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-1537A.jpg,Lawn and Garden,Insect and Pest Control,Indoor Insect and Pest Control,,
13-292,6.50mm Metal Screw Driver Bit Feibao Brand,,13-292,143,150,13-292.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/13-292.jpg,Tools and Hardware,Power Tool Accessories,Drill Bits,,
20-1246,220V 50/60Hz 15W E-27 Spiral Energy Saving Bulb RSR Brand Screw In Install,,20-1246,143,150,20-1246A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1246A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,
20-1252,220V 50/60Hz 9W E27-2U Stick Energy Saver Bulb RSR Brand Screw In Install,,20-1252,143,150,20-1252A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1252A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,
20-1253,220V 50-60Hz 11W E-27 Stick Energy Saving Bulb RSR Brand Screw In Install,,20-1253,143,150,20-1253A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/20-1253A.jpg,Electrical,Light Bulbs,LED Light Bulbs,,
26-2070,Black Color Microfiber Duster with Handle for Car Cleaning,,26-2070,238,238,26-2070.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2070.jpg,Cleaning,Cleaning Tools and Supplies,Dusters,,
26-2831,Flower Type Net Body Brush,,26-2831,143,150,26-2831A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-2831A.jpg,Cleaning,Cleaning Tools and Supplies,Sponges and Scouring Pads,,
26-3450,Stout Edge Long Handle Scissor iLID Brand,,26-3450,143,150,26-3450A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3450A.jpg,Tools and Hardware,Hand Tools,Scissors,,
26-3958,Blue Color Wheel feet Stone Kinepin,"Kinepin brand's wheel feet stone is a long-lasting pumice block for salon/home pedicure and manicures which can be used either wet or dry to keep feet hands and elbows beautiful and free of dead rough skin.

The stones are made of superior material and  will not break easily.
Special design which looks very stylish and very convenient to wear.
It can be used to remove the dead skin with less pressure or friction which makes less pain.",26-3958,143,150,26-3958A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3958A.jpg,Cleaning,Personal Care,Hand and Foot Care,,
36-416,Blue Plastic Cover Metal Blade Anti-cutter,,36-416,143,150,36-416.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/36-416.jpg,Tools and Hardware,Hand Tools,Knives and Blades,,
40-071,3 ft. Stainless Steel Pet Dog Chain,,40-071,143,150,40-071.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/40-071.jpg,Outdoor Living,Pet Supplies and Wildlife,Belts,,
01-1155,Digital Tester Feibao Brand,,01-1155,144,152,01-1155A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1155A.jpg,Electrical,Electrical Tools and Accessories,Electrical Test Meter,,
01-1297,6 Inch 250mm Star Head Screw Driver with Rubber Handle Feibao Brand Model HS-6038,,01-1297,147,155,01-1297A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/01-1297A.jpg,Tools and Hardware,Hand Tools,Screwdrivers,,
26-3223,Man Sign Toilet Symbol with Double Sided Adhesive Foam Tape,,26-3223,147,155,26-3223.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3223.jpg,Doors and Windows,Door Signs,,,
03-102,25mm Metal Round Head Glass Cutter Douniushi Matador Brand,,03-102,148,156,03-102A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/03-102A.jpg,Tools and Hardware,Hand Tools,Glass Cutters,,
26-3383,500  ml Hand Wash,,26-3383,148,156,26-3383A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3383A.jpg,Cleaning,Personal Care,Hand Soaps and Sanitizers,,
23-401,Stainless Steel Air Pipe Socket,,23-401,238,238,23-401A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/23-401A.jpg,Plumbing,Pipes and Fittings,Steel Pipe and Fittings,,
26-3193,Stainless Steel Big Size BBQ Tray with Wooden Handle,,26-3193,151,159,26-3193A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/26-3193A.jpg,Kitchen,Small Appliances,Barbecue Accessories,,
05-1558,128mm Antique Copper Color Furniture Handle,,05-1558,152,160,05-1558A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1558A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
05-1565,128mm Antique Brass Color Furniture Handle Simple Design,,05-1565,152,160,05-1565A.jpg,https://fixit.com.bd/wp-content/uploads/2020/01/05-1565A.jpg,Tools and Hardware,Cabinet and Furniture Hardware,Pulls,,
