Sku,Title,Price,Regular Price,Primary,Sub,Sub Sub,img
40-061,Pet Brush/Comb with Wooden Handle,333,333,Outdoor Living,Pet Supplies and Wildlife,Brushes and Combs,https://fixit.com.bd/wp-content/uploads/2020/01/40-061-web.jpg
06-279,3 Digit Blue Color Resettable Mini Combiniation Padlock Lock,76,80,Tools and Hardware,Safety and Security,Pad Locks,https://fixit.com.bd/wp-content/uploads/2020/01/06-279A.jpg
40-025,Red Color Pet Dog Belt With Pet Dog Handle,77,81,Outdoor Living,Pet Supplies and Wildlife,Belts,https://fixit.com.bd/wp-content/uploads/2020/01/40-025B.jpg
10-002,2 Inch Brown Color Natural bristle Paint Brush HMBR Brand,71,71,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/10-002-web.jpg
26-2300,12 Pcs Packet Multi-Color Plastic Cloth Clip,71,71,Storage and Organization,Garages and Outdoor Storage,Canopy Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-2300A.jpg
26-3415,300  ml Blue Color Spray Bottle,81,85,Cleaning,Cleaning Tools and Supplies,Spray Bottles,https://fixit.com.bd/wp-content/uploads/2020/01/26-3415A.jpg
26-2123,500  ml Fresh Scented Glass Cleaner Refill Kelly's Brand,76,76,Cleaning,Household Cleaners,Glass and Window Cleaners,https://fixit.com.bd/wp-content/uploads/2020/01/26-2123.jpg
20-1211,10 Inch Size 8X250mm Off-White Color 50 Pcs Packet Cable Tie,86,90,Electrical,Electrical Tools and Accessories,Cable Tie,https://fixit.com.bd/wp-content/uploads/2020/01/20-1211A.jpg
26-3191,25cm Big Size Bamboo Skewer Stick for great Shashliks & Kebabs,86,90,Kitchen,Small Appliances,Barbecue Accessories,https://fixit.com.bd/wp-content/uploads/2020/01/26-3191A.jpg
26-3380,4 Pcs Packet Steel Wool Scrubber Set for Dish & Plate Washing VIP SUN Brand,86,90,Kitchen,Small Appliances,Scrubbers and Sponges,https://fixit.com.bd/wp-content/uploads/2020/01/26-3380A.jpg
29-077,2 Inch Paper Gum Tape,86,90,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-077.jpg
29-158,1.5 Inch Masking Tape great for Painters,86,90,Storage and Organization,Office Supplies,Adhesives and Tape,https://fixit.com.bd/wp-content/uploads/2020/01/29-158A.jpg
36-396,Paint Brush with Thin Tip Best for Caligraphy,86,90,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/36-396A.jpg
36-403,4 Inch Scissor With Plastic Handle Dexian Brand,86,90,Tools and Hardware,Hand Tools,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/36-403-web.jpg
16-081,6 Inch Antique Copper Color Tower Bolt (Chitkani) HMBR Brand,79,79,Tools and Hardware,Cabinet and Furniture Hardware,Latches ( Chitkini ),https://fixit.com.bd/wp-content/uploads/2020/01/16-081A.jpg
26-969,9 Volt Heavy Duty Battery Pakko Brand,80,80,Electrical,Batteries,Household Batteries,https://fixit.com.bd/wp-content/uploads/2020/01/26-969.jpg
10-058,4 Inch Brown Color Synthetic/Chinese bristle Paint Brush Karigor Brand,83,83,Paint,Paint Supplies,Paint Brushes,https://fixit.com.bd/wp-content/uploads/2020/01/10-058-web.jpg
16-871,4 Inch X 4 Inch Stainless Steel Angle Bracket,95,100,Building Materials,Builders Hardware,Corner Braces,https://fixit.com.bd/wp-content/uploads/2020/01/16-871A.jpg
26-3369,30 Pcs Packet Transparent One Time Uses Hand Gloves,95,100,Kitchen,Small Appliances,Hand Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-3369A.jpg
26-1821,Stainless Steel Scissor with Black Handle Zhao Sheng Brand,96,101,Kitchen,Cooking and Food Preparation,Scissors,https://fixit.com.bd/wp-content/uploads/2020/01/26-1821A.jpg
26-3442,Pink Small Rubber Hand Gloves for Kitchen & Cleaning,97,102,Kitchen,Small Appliances,Hand Gloves,https://fixit.com.bd/wp-content/uploads/2020/01/26-3442A.jpg
33-113,10mm x 5 Meter Nylon rope HMBR Brand,105,105,Tools and Hardware,Chain and Rope,Rope,https://fixit.com.bd/wp-content/uploads/2020/01/33-113A.jpg
04-604,17mm Stainless Steel Bi-Hex ring & open Jaw dual Wrench Feibao Brand,100,105,Tools and Hardware,Hand Tools,Wrenches,https://fixit.com.bd/wp-content/uploads/2020/01/04-604A.jpg
26-3196,Stainless Steel Can Opener with Bottle Opener,102,107,Kitchen,Cooking and Food Preparation,Can Openers,https://fixit.com.bd/wp-content/uploads/2020/01/26-3196A.jpg
